a	A|吖|呵|啊|嗄|腌|锕|阿	A|吖|呵|啊|嗄|腌|錒|阿
ribenyinhang	日本银行	日本銀行
ribenyuanzinengyanjiusuo	日本原子能研究所	日本原子能研究所
ribenzhaoxia	日本沼虾	日本沼蝦
ribigugongyuan	日比谷公园	日比谷公園
riboyanzi	日薄崦嵫	日薄崦嵫
richan	日产	日產
richang	日场|日常	日場|日常
richanggongzuo	日常工作	日常工作
richao	日朝	日朝
richeng	日程	日程
richengbiao	日程表	日程表
richu	日出	日出
richuerzuoriruerxi	日出而作，日入而息	日出而作，日入而息
richuo	日戳	日戳
ridian	日电	日電
ridiandianzi	日电电子	日電電子
rierman	日耳曼	日耳曼
riermanyu	日耳曼语	日耳曼語
riezhanzheng	日俄战争	日俄戰爭
rifang	日方	日方
rifuyiri	日复一日	日復一日
riguai	日怪	日怪
riguang	日光	日光
riguangdeng	日光灯	日光燈
riguangjieyueshi	日光节约时	日光節約時
riguangyu	日光浴	日光浴
riguangyushi	日光浴室	日光浴室
riguangyuyuchuang	日光浴浴床	日光浴浴床
rigui	日晷|日规	日晷|日規
rihan	日韩	日韓
rihang	日航	日航
rihou	日后	日後
rihua	日化	日化
rihuanshi	日环食	日環食
rihuo	日货	日貨
rihuoyonghu	日活用户	日活用戶
riji	日记	日記
rijian	日渐|日间	日漸|日間
rijiaocha	日较差	日較差
rijiben	日记本	日記本
rijindoujin	日进斗金	日進斗金
rijing	日经	日經
rijingpingjun	日经平均	日經平均
rijingpingjunzhishu	日经平均指数	日經平均指數
rijingzhishu	日经指数	日經指數
rijiu	日久	日久
rijiumixin	日久弥新	日久彌新
rijiushengqing	日久生情	日久生情
rijiusuishen	日久岁深	日久歲深
rijiyuelei	日积月累	日積月累
riju	日据	日據
rijun	日军	日軍
rijushidai	日据时代	日據時代
rikan	日刊	日刊
rikaze	日喀则	日喀則
rikazeshi	日喀则市	日喀則市
rilai	日来	日來
rili	日历|日立|日里	日曆|日立|日裡
riliao	日料	日料
riliu	日流	日流
riluo	日落	日落
riluofengsheng	日落风生	日落風生
riluoxishan	日落西山	日落西山
rimei	日媒|日美	日媒|日美
rimian	日冕	日冕
rimianceng	日冕层	日冕層
rimo	日没	日沒
rimu	日暮	日暮
rimutuqiong	日暮途穷	日暮途窮
rinanjun	日南郡	日南郡
rinei	日内	日內
rineiwa	日内瓦	日內瓦
rinima	日你妈	日你媽
ripao	日抛	日拋
ripianshi	日偏食	日偏食
riqi	日期	日期
riqian	日前	日前
riqu	日趋	日趨
riquanshi	日全食	日全食
riquyanzhong	日趋严重	日趨嚴重
rire	日惹	日惹
riren	日人	日人
rirenminbao	日人民报	日人民報
riretequ	日惹特区	日惹特區
riri	日日	日日
rishaishang	日晒伤	日曬傷
rishaiyulin	日晒雨淋	日曬雨淋
rishen	日神	日神
risheng	日盛	日盛
rishi	日式|日蚀|日食	日式|日蝕|日食
rishishaorou	日式烧肉	日式燒肉
ritou	日头	日頭
ritu	日土	日土
rituxian	日土县	日土縣
riwen	日文	日文
riwuxiagui	日无暇晷	日無暇晷
rixi	日系	日系
rixin	日新|日薪	日新|日薪
rixingyishan	日行一善	日行一善
rixinshuo	日心说	日心說
rixinyueyi	日新月异	日新月異
riyaori	日曜日	日曜日
riye	日夜	日夜
riyejiancheng	日夜兼程	日夜兼程
riyi	日益|日裔	日益|日裔
riyinglianjun	日英联军	日英聯軍
riyizengjia	日益增加	日益增加
riyong	日用	日用
riyongpin	日用品	日用品
riyu	日语	日語
riyuan	日元|日圆	日元|日圓
riyue	日月	日月
riyuechongguang	日月重光	日月重光
riyuecuotuo	日月蹉跎	日月蹉跎
riyuerusuo	日月如梭	日月如梭
riyueshi	日月食	日月食
riyuetan	日月潭	日月潭
riyuewuxing	日月五星	日月五星
riyueyun	日月晕	日月暈
rizeng	日增	日增
rizhao	日照	日照
rizhaoshi	日照市	日照市
rizhen	日臻	日臻
rizhi	日志|日至	日至|日誌
rizhilu	日知录	日知錄
rizhishiqi	日治时期	日治時期
rizhong	日中	日中
rizi	日子	日子
rizu	日租	日租
rong	冗|嬫|容|嵘|戎|榕|毧|氄|溶|熔|狨|瑢|绒|羢|肜|茸|荣|蓉|蝾|融|镕	冗|嬫|宂|容|嶸|戎|榕|榮|毧|氄|溶|熔|狨|瑢|絨|羢|肜|茸|蓉|融|螎|蠑|鎔
rongan	融安	融安
ronganxian	融安县	融安縣
rongaoxie	绒螯蟹	絨螯蟹
rongbi	冗笔	冗筆
rongbing	冗兵|融冰	冗兵|融冰
rongbu	绒布	絨布
rongbude	容不得	容不得
rongchang	冗长|荣昌	冗長|榮昌
rongchangbianlun	冗长辩论	冗長辯論
rongchangdu	冗长度	冗長度
rongchangqu	荣昌区	榮昌區
rongche	戎车	戎車
rongcheng	容城|榕城|荣成|蓉城	容城|榕城|榮成|蓉城
rongchengqu	榕城区	榕城區
rongchengshi	荣成市	榮成市
rongchengwan	荣成湾	榮成灣
rongchengxian	容城县	容城縣
rongci	冗词|冗辞	冗詞|冗辭
rongcuo	容错	容錯
rongdeng	荣登	榮登
rongdian	熔点	熔點
rongdong	溶洞	溶洞
rongduan	熔断	熔斷
rongduanjizhi	熔断机制	熔斷機制
rongduansi	熔断丝	熔斷絲
rongeshi	绒额䴓	絨額鳾
rongfan	冗繁	冗繁
rongfei	冗费	冗費
rongge	荣格	榮格
ronggeng	融梗	融梗
rongguan	冗官	冗官
rongguang	荣光	榮光
rongguanghuanfa	容光焕发	容光煥發
rongguangsong	荣光颂	榮光頌
ronggui	荣归	榮歸
rongguiguli	荣归故里	榮歸故里
rongguizhu	荣归主	榮歸主
ronghang	戎行	戎行
ronghe	熔核|融合|融和	熔核|融合|融和
rongheweiyi	融合为一	融合為一
ronghua	溶化|熔化|荣华|融化	榮華|溶化|熔化|融化
ronghuadian	熔化点	熔化點
ronghuafugui	荣华富贵	榮華富貴
ronghuajuedai	容华绝代	容華絕代
ronghui	熔毁|融会|融汇	熔毀|融匯|融會
ronghuiguantong	融会贯通|融汇贯通	融匯貫通|融會貫通
ronghuo	容或|荣获	容或|榮獲
rongji	容积|戎机|溶剂	容積|戎機|溶劑
rongjia	戎甲	戎甲
rongjiang	榕江|熔浆	榕江|熔漿
rongjiangxian	榕江县	榕江縣
rongjie	戎羯|溶解|熔解|融解	戎羯|溶解|熔解|融解
rongjiedu	溶解度	溶解度
rongjiexing	溶解性	溶解性
rongjing	荣景	榮景
rongjixiaolv	容积效率	容積效率
rongjun	荣军	榮軍
rongke	容克	容克
rongku	荣枯	榮枯
rongkuanglu	熔矿炉	熔礦爐
ronglian	熔炼	熔煉
rongliang	容量	容量
rongliangfenxi	容量分析	容量分析
ronglu	熔炉|融炉|镕炉	熔爐|融爐|鎔爐
rongludafu	荣禄大夫	榮祿大夫
rongma	戎马	戎馬
rongmao	容貌|绒毛|茸毛	容貌|絨毛|茸毛
rongmaoxingxianjisu	绒毛性腺激素	絨毛性腺激素
rongmashengya	戎马生涯	戎馬生涯
rongmei	荣美	榮美
rongmeiti	溶酶体	溶酶體
rongmin	荣民	榮民
rongmo	溶没	溶沒
rongna	容纳	容納
rongqi	容器	容器
rongqia	融洽	融洽
rongqiu	绒球	絨球
rongran	融然	融然
rongrang	容让	容讓
rongren	容忍|荣任	容忍|榮任
rongrong	冗冗|熔融|融融	冗冗|熔融|融融
rongru	荣辱|融入	榮辱|融入
rongruguan	荣辱观	榮辱觀
rongruyugong	荣辱与共	榮辱與共
rongsan	冗散	冗散
rongshen	容身	容身
rongshi	冗食|戎事|溶蚀|荣市	冗食|戎事|榮市|溶蝕
rongshikongzong	戎事倥偬	戎事倥傯
rongshizuoyong	溶蚀作用	溶蝕作用
rongshou	容受	容受
rongshu	冗数|容恕|榕树	冗數|容恕|榕樹
rongshuan	溶栓	溶栓
rongshui	融水	融水
rongshuimiaozuzizhixian	融水苗族自治县	融水苗族自治縣
rongshuixian	融水县	融水縣
rongti	溶体	溶體
rongtong	融通	融通
rongwei	冗位|荣威	冗位|榮威
rongweiyiti	融为一体	融為一體
rongwu	冗务	冗務
rongxia	容下	容下
rongxian	容县|绒线|荣县	容縣|榮縣|絨線
rongxiaoti	溶小体	溶小體
rongxiaotichujizheng	溶小体储积症	溶小體儲積症
rongxing	荣幸	榮幸
rongxu	容许	容許
rongxue	溶血|融雪	溶血|融雪
rongxuebing	溶血病	溶血病
rongxuetianqi	融雪天气	融雪天氣
rongyan	冗言|容颜|熔岩	冗言|容顏|熔岩
rongyanhu	熔岩湖	熔岩湖
rongyanliu	熔岩流	熔岩流
rongyanqiongqiu	熔岩穹丘	熔岩穹丘
rongyanshise	容颜失色	容顏失色
rongyao	荣耀	榮耀
rongye	溶液	溶液
rongyi	容易|戎衣	容易|戎衣
rongyiren	荣毅仁	榮毅仁
rongyu	冗余|冗语|荣誉	冗語|冗餘|榮譽
rongyuan	冗员|蝾螈	冗員|蠑螈
rongyuanxing	溶源性	溶源性
rongyuboshi	荣誉博士	榮譽博士
rongyuguomin	荣誉国民	榮譽國民
rongyujiaoshou	荣誉教授	榮譽教授
rongyujunren	荣誉军人	榮譽軍人
rongyuxuewei	荣誉学位	榮譽學位
rongza	冗杂	冗雜
rongzha	熔渣	熔渣
rongzhi	冗职|容止|溶质	冗職|容止|溶質
rongzhuang	戎装	戎裝
rongzhui	冗赘	冗贅
rongzhuici	冗赘词	冗贅詞
rongzi	融资	融資
rongzong	荣总	榮總
rongzongyaozu	荣宗耀祖	榮宗耀祖
rongzuer	容祖儿	容祖兒
rou	厹|宍|揉|柔|禸|糅|肉|腬|葇|蹂|鞣|韖|𫐓	厹|宍|揉|柔|禸|糅|肉|腬|葇|蹂|輮|鞣|韖
roubang	肉棒	肉棒
roubaozidagou	肉包子打狗	肉包子打狗
roubing	肉饼	肉餅
roubo	肉搏	肉搏
roubozhan	肉搏战	肉搏戰
rouchang	肉偿	肉償
rouchangcunduan	柔肠寸断	柔腸寸斷
rouchuimaiji	肉垂麦鸡	肉垂麥雞
roucuo	揉搓	揉搓
roudan	肉弹	肉彈
roudao	柔道	柔道
roudian	肉垫	肉墊
rouding	肉丁	肉丁
roudong	肉冻	肉凍
roudoukou	肉豆蔻	肉豆蔻
roudoukouke	肉豆蔻科	肉豆蔻科
roududu	肉嘟嘟	肉嘟嘟
rouduganjun	肉毒杆菌	肉毒桿菌
rouduganjundusu	肉毒杆菌毒素	肉毒桿菌毒素
roudun	肉盾	肉盾
roudusu	肉毒素	肉毒素
roudusuozhuangyabaoganjun	肉毒梭状芽孢杆菌	肉毒梭狀芽孢桿菌
rouduzhongdu	肉毒中毒	肉毒中毒
roufan	肉贩	肉販
roufo	柔佛	柔佛
roufohaixia	柔佛海峡	柔佛海峽
roufozhou	柔佛州	柔佛州
roufu	肉脯	肉脯
roufushui	柔肤水	柔膚水
rougan	肉干|肉感	肉乾|肉感
rougeng	肉羹	肉羹
rouguan	肉冠	肉冠
rougucha	肉骨茶	肉骨茶
rougui	肉桂	肉桂
rouguo	肉果	肉果
rouhe	揉合|揉和|柔和|糅合	揉合|揉和|柔和|糅合
rouhua	柔滑	柔滑
rouhuhu	肉乎乎|肉呼呼	肉乎乎|肉呼呼
rouji	肉鸡	肉雞
roujiamo	肉夹馍	肉夾饃
roujian	肉碱	肉鹼
roujiang	肉酱	肉醬
roulanzaiguoli	肉烂在锅里	肉爛在鍋裡
roulei	肉类	肉類
roulin	蹂躏	蹂躪
rouliu	肉瘤	肉瘤
rouma	肉麻	肉麻
rouman	柔曼	柔曼
roumei	柔媚|柔美	柔媚|柔美
roumi	肉糜	肉糜
roumo	揉磨|肉末|肉沫	揉磨|肉末|肉沫
rounen	柔嫩	柔嫩
rounengkegang	柔能克刚	柔能克剛
roupi	肉皮	肉皮
roupian	肉片	肉片
roupiao	肉票	肉票
roupu	肉铺	肉鋪
rouputuan	肉蒲团	肉蒲團
rouqing	柔情	柔情
rouqingmomo	柔情脉脉	柔情脈脈
rouqingsishui	柔情似水	柔情似水
rouqingxiagu	柔情侠骨	柔情俠骨
rouren	柔韧	柔韌
rouruan	柔软	柔軟
rouruanji	柔软剂	柔軟劑
rouruanjing	柔软精	柔軟精
rouruo	柔弱	柔弱
roushang	肉商	肉商
roushen	肉身	肉身
roushenshu	柔身术	柔身術
roushi	肉食	肉食
roushidongwu	肉食动物	肉食動物
roushu	柔术	柔術
roushun	柔顺	柔順
roushunji	柔顺剂	柔順劑
rousi	肉丝	肉絲
rousong	肉松	肉鬆
rousou	肉搜	肉搜
rousuan	鞣酸	鞣酸
rousui	揉碎	揉碎
routan	肉袒	肉袒
routang	肉汤	肉湯
routangmian	肉汤面	肉湯麵
routi	肉体	肉體
routiao	肉条	肉條
routihuaxu	柔荑花序|葇荑花序	柔荑花序|葇荑花序
rouwan	肉丸	肉丸
rouxian	肉馅	肉餡
rouxing	柔性|肉刑	柔性|肉刑
rouyan	肉眼	肉眼
rouyanfantai	肉眼凡胎	肉眼凡胎
rouyanguancha	肉眼观察	肉眼觀察
rouyazhong	肉芽肿	肉芽腫
rouyu	肉欲	肉慾
rouyuan	肉圆	肉圓
rouzao	肉燥	肉燥
rouzhi	揉制|肉汁|肉质|鞣制|鞣质	揉制|肉汁|肉質|鞣製|鞣質
rouzhigen	肉质根	肉質根
rouzhongci	肉中刺	肉中刺
rouzijie	肉孜节	肉孜節
rouzuhu	肉足鹱	肉足鸌
ru	乳|儒|入|嗕|嚅|女|如|孺|擩|曘|汝|洳|溽|濡|筎|缛|茹|蓐|蕠|薷|蠕|袽|褥|襦|辱|鄏|醹|铷|颥|鴽	乳|儒|入|嗕|嚅|女|如|孺|擩|曘|汝|洳|溽|濡|筎|縟|茹|蓐|蕠|薷|蝡|蠕|袽|褥|襦|辱|鄏|醹|銣|顬|鴽
rua	挼	挼
ruai	乳癌	乳癌
ruan	堧|壖|撋|朊|瓀|碝|礝|緛|耎|软|阮	堧|壖|撋|朊|瓀|碝|礝|緛|耎|軟|輭|阮
ruanan	阮安	阮安
ruanbao	软包	軟包
ruanbingdu	朊病毒	朊病毒
ruanchi	软尺	軟尺
ruanchongwu	阮崇武	阮崇武
ruancidie	软磁碟	軟磁碟
ruancipan	软磁盘	軟磁盤
ruandaozi	软刀子	軟刀子
ruandie	软碟	軟碟
ruandingzi	软钉子	軟釘子
ruanduti	朊毒体	朊毒體
ruane	软腭	軟齶
ruanerduo	软耳朵	軟耳朵
ruaneyin	软腭音	軟齶音
ruanfannan	软饭男	軟飯男
ruangao	软膏	軟膏
ruangu	软骨	軟骨
ruanguan	软管	軟管
ruangubing	软骨病	軟骨病
ruangutou	软骨头	軟骨頭
ruanguyu	软骨鱼	軟骨魚
ruanguyulei	软骨鱼类	軟骨魚類
ruanhan	软焊	軟焊
ruanhua	软化	軟化
ruanhuo	软和	軟和
ruanjiagang	软甲纲	軟甲綱
ruanjian	软件	軟件
ruanjianbao	软件包	軟件包
ruanjianjifuwu	软件即服务	軟件即服務
ruanjianjishu	软件技术	軟件技術
ruanjiankaifa	软件开发	軟件開發
ruanjianpingtai	软件平台	軟件平臺
ruanjianqiye	软件企业	軟件企業
ruanjianxitong	软件系统	軟件系統
ruanjiaoxia	软脚虾	軟腳蝦
ruanjiaoxie	软脚蟹	軟腳蟹
ruanjin	软禁	軟禁
ruanjinyong	阮晋勇	阮晉勇
ruankougai	软口盖	軟口蓋
ruanlan	软烂	軟爛
ruanlei	软肋	軟肋
ruanliuceng	软流层	軟流層
ruanliuquan	软流圈	軟流圈
ruanmao	软毛	軟毛
ruanmianmian	软绵绵	軟綿綿
ruanmoyingpao	软磨硬泡	軟磨硬泡
ruanmu	软木	軟木
ruanmusai	软木塞	軟木塞
ruanmuzhuan	软木砖	軟木磚
ruanni	软呢|软泥	軟呢|軟泥
ruannir	软泥儿	軟泥兒
ruannuo	软糯	軟糯
ruanpan	软盘	軟盤
ruanpian	软片	軟片
ruanqin	阮琴	阮琴
ruanruo	软弱	軟弱
ruanshili	软实力	軟實力
ruanshizi	软柿子	軟柿子
ruanshui	软水	軟水
ruantang	软糖	軟糖
ruanti	软体|软梯	軟梯|軟體
ruantidongwu	软体动物	軟體動物
ruantiye	软体业	軟體業
ruanwen	软文	軟文
ruanwo	软卧	軟臥
ruanxi	软席	軟席
ruanxian	阮咸	阮咸
ruanyin	软饮	軟飲
ruanyingbuchi	软硬不吃	軟硬不吃
ruanyingjian	软硬件	軟硬件
ruanyingjianshi	软硬兼施	軟硬兼施
ruanyinliao	软饮料	軟飲料
ruanyinyin	软龈音	軟齦音
ruanyu	软玉	軟玉
ruanyuan	阮元	阮元
ruanzhisuan	软脂酸	軟脂酸
ruanzhuolu	软着陆	軟著陸
ruanzulei	软足类	軟足類
ruanzuo	软坐|软座	軟坐|軟座
ruanzuzhi	软组织	軟組織
rubai	乳白	乳白
rubaise	乳白色	乳白色
rubaitiankong	乳白天空	乳白天空
rubian	蠕变	蠕變
rubing	入禀	入稟
rubishizhi	如臂使指	如臂使指
rubo	乳钵	乳缽
rubu	乳哺|乳部	乳哺|乳部
rubufuchu	入不敷出	入不敷出
rucao	乳草|如草	乳草|如草
ruce	如厕	如廁
ruchang	入场|如常	入場|如常
ruchangfei	入场费	入場費
ruchangquan	入场券	入場券
ruchangshi	入场式	入場式
ruchao	入超	入超
rucheng	汝城	汝城
ruchengxian	汝城县	汝城縣
ruchi	乳齿	乳齒
ruchiruzui	如痴如醉	如癡如醉
ruchong	蠕虫	蠕蟲
ruchu	如初	如初
ruchuang	褥疮	褥瘡
ruchuyizhe	如出一辙	如出一轍
ruci	如此	如此
rucizheban	如此这般	如此這般
rudang	入党	入黨
rudao	入道	入道
ruding	入定	入定
rudong	入冬|如东|蠕动	入冬|如東|蠕動
rudongqianjin	蠕动前进	蠕動前進
rudongxian	如东县	如東縣
ruduowuliwuzhong	如堕五里雾中	如墮五里霧中
ruduoyanwu	如堕烟雾	如墮煙霧
ruer	乳儿	乳兒
rufang	乳房	乳房
rufangsheying	乳房摄影	乳房攝影
rufapaozhi	如法泡制|如法炮制	如法泡製|如法炮製
rufengkou	入风口	入風口
rufu	乳腐|入伏	乳腐|入伏
rufuren	如夫人	如夫人
ruganjun	乳杆菌	乳桿菌
rugao	如皋	如皋
rugaoshi	如皋市	如皋市
rugen	儒艮	儒艮
rugengzaihou	如鲠在喉	如鯁在喉
rugou	乳沟	乳溝
rugu	入股|如故	入股|如故
ruguan	入关	入關
ruguang	乳光	乳光
ruguanxue	入关学	入關學
ruguhanjin	茹古涵今	茹古涵今
rugui	入轨	入軌
ruguo	如果	如果
ruguoshuo	如果说	如果說
ruguotang	乳果糖	乳果糖
ruhaikou	入海口	入海口
ruhang	入行	入行
ruhao	濡毫	濡毫
ruhe	如何	如何
ruhu	入户	入戶
ruhua	乳化|乳滑|如画|如花|蠕滑|辱华	乳化|乳滑|如畫|如花|蠕滑|辱華
ruhuaji	乳化剂	乳化劑
ruhuangse	乳黄色	乳黃色
ruhuangzhishe	如簧之舌	如簧之舌
ruhuasiyu	如花似玉	如花似玉
ruhui	入会	入會
ruhun	茹荤	茹葷
ruhunyinjiu	茹荤饮酒	茹葷飲酒
ruhuo	入伙|如火	入伙|如火
ruhuorutu	如火如荼	如火如荼
ruhuozhibao	如获至宝	如獲至寶
ruhutianyi	如虎添翼	如虎添翼
rui	壡|枘|汭|瑞|睿|緌|繠|芮|蕊|蕤|蚋|锐	叡|壡|枘|橤|汭|瑞|睿|緌|繠|芮|蕊|蕋|蕤|蘂|蚋|銳
ruian	瑞安	瑞安
ruianshi	瑞安市	瑞安市
ruibobi	瑞波币	瑞波幣
ruibu	锐步	銳步
ruibukedang	锐不可当	銳不可當
ruichang	瑞昌	瑞昌
ruichangshi	瑞昌市	瑞昌市
ruicheng	芮城	芮城
ruichengxian	芮城县	芮城縣
ruidexiwei	瑞德西韦	瑞德西韋
ruidian	瑞典	瑞典
ruidianren	瑞典人	瑞典人
ruidianyu	瑞典语	瑞典語
ruier	瑞尔	瑞爾
ruifang	瑞芳	瑞芳
ruifangzhen	瑞芳镇	瑞芳鎮
ruihua	锐化	銳化
ruijian	锐减	銳減
ruijiao	锐角	銳角
ruijin	瑞金|锐进	瑞金|銳進
ruijinshi	瑞金市	瑞金市
ruilang	瑞朗	瑞朗
ruili	瑞丽|锐利	瑞麗|銳利
ruilishi	瑞丽市	瑞麗市
ruilizhunze	瑞利准则	瑞利準則
ruimin	锐敏	銳敏
ruiping	锐评	銳評
ruiqi	瑞气|锐气	瑞氣|銳氣
ruisa	瑞萨	瑞薩
ruise	瑞色	瑞色
ruishi	瑞士|瑞狮|芮氏	瑞士|瑞獅|芮氏
ruishifalang	瑞士法郎	瑞士法郎
ruishiguimo	芮氏规模	芮氏規模
ruishijuan	瑞士卷	瑞士捲
ruishijundao	瑞士军刀	瑞士軍刀
ruishiranliao	瑞氏染料	瑞氏染料
ruishiranse	瑞氏染色	瑞氏染色
ruishiren	瑞士人	瑞士人
ruishou	瑞兽	瑞獸
ruisui	瑞穗	瑞穗
ruisuixiang	瑞穗乡	瑞穗鄉
ruixiang	瑞香	瑞香
ruixingkafei	瑞幸咖啡	瑞幸咖啡
ruixue	瑞雪	瑞雪
ruiya	瑞亚	瑞亞
ruiyi	锐意	銳意
ruizao	枘凿	枘鑿
ruizhi	睿智|锐志	睿智|銳志
ruji	乳剂|入籍	乳劑|入籍
rujia	乳痂|儒家	乳痂|儒家
rujiabaohuan	如假包换	如假包換
rujiang	乳浆	乳漿
rujiao	乳交|乳胶|儒教|入教	乳交|乳膠|儒教|入教
rujiaoqi	乳胶漆	乳膠漆
rujiaosiqi	如胶似漆	如膠似漆
rujin	如今	如今
rujing	入境	入境
rujingqianzheng	入境签证	入境簽證
rujingsuisu	入境随俗	入境隨俗
rujingwensu	入境问俗	入境問俗
rujinsiyu	如金似玉	如金似玉
rujisike	如饥似渴	如飢似渴
ruju	入局	入局
rukou	入口	入口
rukoujiuhua	入口就化	入口就化
rukouwang	入口网	入口網
rukouye	入口页	入口頁
rukuhanxin	茹苦含辛	茹苦含辛
rulai	如来	如來
rulaifo	如来佛	如來佛
rulaifodezhangxin	如来佛的掌心	如來佛的掌心
rulangsihu	如狼似虎	如狼似虎
rulao	乳酪	乳酪
rulaobing	乳酪饼	乳酪餅
rulaodangao	乳酪蛋糕	乳酪蛋糕
rulefanerna	儒勒·凡尔纳	儒勒·凡爾納
ruleiguaner	如雷贯耳	如雷貫耳
rulian	入殓|入联	入殮|入聯
rulindadi	如临大敌	如臨大敵
rulinshenyuan	如临深渊	如臨深淵
rulinwaishi	儒林外史	儒林外史
rulv	茹藘|蕠藘	茹藘|蕠藘
rulvbobing	如履薄冰	如履薄冰
rulveri	儒略日	儒略日
ruma	辱骂	辱罵
rumaoyinxue	茹毛饮血	茹毛飲血
rumen	入门	入門
rumeng	入盟	入盟
rumenkecheng	入门课程	入門課程
rumi	入迷	入迷
rumian	入眠	入眠
ruming	乳名	乳名
rumixie	乳糜泻	乳糜瀉
rumohezhe	濡沫涸辙	濡沫涸轍
rumu	乳母	乳母
rumusanfen	入木三分	入木三分
run	润|犉|闰|𥆧	潤|犉|瞤|閏
runan	汝南	汝南
runanxian	汝南县	汝南縣
runbi	润笔	潤筆
runbing	润饼	潤餅
runchang	润肠	潤腸
runchangtongbian	润肠通便	潤腸通便
runchungao	润唇膏	潤唇膏
runfalu	润发露	潤髮露
runfaru	润发乳	潤髮乳
runfaye	润发液	潤髮液
runfei	润肺	潤肺
runfugao	润肤膏	潤膚膏
runfulu	润肤露	潤膚露
runfuru	润肤乳	潤膚乳
runfushuang	润肤霜	潤膚霜
runge	润格	潤格
runhua	润滑	潤滑
runhuaji	润滑剂	潤滑劑
runhuaye	润滑液	潤滑液
runhuayou	润滑油	潤滑油
runiaoshousan	如鸟兽散	如鳥獸散
runie	入涅	入涅
runiu	乳牛	乳牛
runnian	闰年	閏年
runse	润色	潤色
runshi	润湿|润饰	潤濕|潤飾
runsiyuechishuye	闰四月，吃树叶	閏四月，吃樹葉
runxue	润学	潤學
runyue	闰月	閏月
runze	润泽	潤澤
runzhou	润州	潤州
runzhouqu	润州区	潤州區
runzi	润资	潤資
ruo	偌|叒|弱|挼|捼|爇|箬|篛|若|蒻|鄀|鶸	偌|叒|弱|挼|捼|爇|箬|篛|若|蒻|鄀|鶸
ruobao	弱爆	弱爆
ruobujinfeng	弱不禁风	弱不禁風
ruoce	弱侧	弱側
ruochong	若虫	若蟲
ruoda	偌大	偌大
ruodian	弱点	弱點
ruodiantongyi	弱电统一	弱電統一
ruoergai	若尔盖	若爾蓋
ruoergaixian	若尔盖县	若爾蓋縣
ruofei	若非	若非
ruogan	若干	若干
ruoguo	若果	若果
ruohan	若翰	若翰
ruohua	弱化	弱化
ruojian	弱碱	弱鹼
ruojiruoli	若即若离	若即若離
ruokaishanmai	若开山脉	若開山脈
ruolv	弱旅	弱旅
ruomai	弱脉	弱脈
ruoqiang	若羌	若羌
ruoqiangxian	若羌县	若羌縣
ruoqieweiruo	若且唯若	若且唯若
ruoran	若然	若然
ruorouqiangshi	弱肉强食	弱肉強食
ruose	若瑟	若瑟
ruoshi	弱势|弱视|若是	弱勢|弱視|若是
ruoshiqunti	弱势群体	弱勢群體
ruosuan	弱酸	弱酸
ruoting	弱听	弱聽
ruowang	若望	若望
ruowangfuyin	若望福音	若望福音
ruowuqishi	若无其事	若無其事
ruoxiang	弱项	弱項
ruoxianghuzuoyong	弱相互作用	弱相互作用
ruoxiao	弱小	弱小
ruoyaorenbuzhichufeijimowei	若要人不知，除非己莫为	若要人不知，除非己莫為
ruoyinruoxian	若隐若现	若隱若現
ruoyintaban	弱音踏板	弱音踏板
ruoyouruowu	若有若无	若有若無
ruoyousuosang	若有所丧	若有所喪
ruoyousuoshi	若有所失	若有所失
ruoyousuosi	若有所思	若有所思
ruoyousuowang	若有所亡	若有所亡
ruozhi	弱智	弱智
ruozuoyong	弱作用	弱作用
ruozuoyongli	弱作用力	弱作用力
rupin	乳品	乳品
ruqi	如期	如期
ruqin	入侵	入侵
ruqing	乳清	乳清
ruqingruli	入情入理	入情入理
ruqinwuzhong	入侵物种	入侵物種
ruqinzhe	入侵者	入侵者
ruqirusu	如泣如诉	如泣如訴
ruqisuohao	如其所好	如其所好
ruqiu	入球	入球
ruqufugu	如蛆附骨	如蛆附骨
ruran	濡染	濡染
ruren	孺人|濡忍	孺人|濡忍
rurenyinshuilengnuanzizhi	如人饮水，冷暖自知	如人飲水，冷暖自知
rurizhongtian	如日中天	如日中天
rurou	入肉	入肉
ruru	蠕蠕	蠕蠕
ruruo	如若	如若
rusangkaobi	如丧考妣	如喪考妣
rushan	乳山	乳山
rushanshi	乳山市	乳山市
rushen	入神	入神
rusheng	儒生|入圣|入声	儒生|入聖|入聲
rushi	儒士|入世|入时|如实|如是|濡湿	儒士|入世|入時|如實|如是|濡濕
rushiruhua	如诗如画	如詩如畫
rushiwowen	如是我闻	如是我聞
rushizhongfu	如释重负	如釋重負
rushou	入手	入手
rushu	如数	如數
rushui	入睡	入睡
rushujiazhen	如数家珍	如數家珍
rusi	如斯	如斯
rusu	茹素	茹素
rusuan	乳酸	乳酸
rusuanjun	乳酸菌	乳酸菌
rusuruqi	如诉如泣	如訴如泣
rutang	乳糖	乳糖
rutangbunaizheng	乳糖不耐症	乳糖不耐症
ruti	如题	如題
rutie	乳贴	乳貼
rutong	如同|茹痛	如同|茹痛
rutou	乳头	乳頭
rutouliu	乳头瘤	乳頭瘤
rutu	乳突|入土	乳突|入土
rutuan	入团	入團
rutudou	乳突窦	乳突竇
rutuo	入托	入托
rutuweian	入土为安	入土為安
ruwei	入味|入围|入微	入味|入圍|入微
ruweizhe	入围者	入圍者
ruwu	入伍	入伍
ruwusheng	入伍生	入伍生
